TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,GICS_SECTOR_WEIGHT,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK,TARGET_WEIGHT,CUM_WEIGHT,CUM_WEIGHT_ADJ,TARGET_WEIGHT_ADJ,MAX_WEIGHT
aapl,2020-04-21,279,249,300,250,280,FALSE,282.97,307.52105712890625,1.0884545795335387,1.0228649377822876,Information Technology,25.57072,0.9859702441954976,1.0867620494360046,10,7,8,5,8.100000000000001,7.6000000000000005,8,8,19.55361444652321,19.55361444652321,0,19.55361444652321,39.10722889304642
adsk,2020-04-21,162,162,195,NA,NA,FALSE,180.35,198.3000030517578,NA,0.9545502662658691,Information Technology,25.57072,0.8982533961741059,1.0995287111270187,12,6,10,9,9.100000000000001,9.4,12,12,19.55361444652321,39.10722889304642,0,19.55361444652321,39.10722889304642
intc,2020-04-21,65,54,65,55,60,FALSE,59.26,63.516666412353516,2.2274722451098334,0.9810599684715271,Information Technology,25.57072,1.0968612892338847,1.0718303478291178,8,10,4,8,8.4,6.800000000000001,9,6.5,19.55361444652321,58.660843339569624,0,19.55361444652321,39.10722889304642
msft,2020-04-21,190,164,190,165,180,FALSE,174.55,189.125,1.1687865027231739,0.9081486463546753,Information Technology,25.57072,1.0885133199656258,1.0835004296763104,9,8,7,10,8.5,8.200000000000001,10.5,10.5,19.55361444652321,78.21445778609284,0,19.55361444652321,39.10722889304642
qcom,2020-04-21,87,67,81,68,80,FALSE,76.04,90.95999908447266,3.4192528993063758,0.9878124594688416,Information Technology,25.57072,1.1441346659652813,1.196212507686384,4,4,2,7,4.1000000000000005,3.8,3,2,19.55361444652321,97.76807223261605,0,19.55361444652321,39.10722889304642
blk,2020-04-21,490,410,490,420,470,FALSE,475.14,515,3.055941503086179,1.1809616088867187,Financials,10.38778,1.03127499263375,1.0838910636864925,8,9,6,4,7.800000000000001,6.6000000000000005,8,7,48.133479915824175,48.133479915824175,0,48.133479915824175,96.26695983164835
jpm,2020-04-21,104,84,100,85,95,FALSE,90.71,105.96399688720703,3.968691329106569,1.1263759136199951,Financials,10.38778,1.1465108587807298,1.1681622410672146,7,6,4,7,6.300000000000002,5.6,6,5,48.133479915824175,96.26695983164835,0,48.133479915824175,96.26695983164835
bmy,2020-04-21,82,57,70,58,68,FALSE,62.25,70.384613037109375,2.891566188459894,0.8419974446296692,Health Care,15.85268,1.3172690763052208,1.1306765146523594,2,4,5,4,3.3000000000000003,4,2,2.5,31.540408309509814,31.540408309509814,0,31.540408309509814,63.08081661901963
gild,2020-04-21,90,75,85,NA,NA,FALSE,79.64,76.884613037109375,3.415369197149962,0.5782790184020996,Health Care,15.85268,1.1300853842290306,0.9654019718371343,5,9,3,9,6.8,5.800000000000001,8,7,31.540408309509814,63.08081661901963,0,31.540408309509814,63.08081661901963
ilmn,2020-04-21,290,300,330,NA,NA,FALSE,309.07,311.8125,NA,0.9519367814064026,Health Care,15.85268,0.9382987672695506,1.0088733943766783,9,8,7,3,7.800000000000001,6.800000000000001,9,9,31.540408309509814,94.62122492852944,0,31.540408309509814,63.08081661901963
jnj,2020-04-21,186,139,165,140,160,FALSE,154.86,160.0500030517578,2.6109997814599804,0.7467222213745117,Health Care,15.85268,1.2010848508330103,1.033514161512061,4,7,6,7,5.7,6,5,8,31.540408309509814,126.16163323803926,26.161633238039258,5.378775071470557,63.08081661901963
unp,2020-04-21,152,135,160,NA,NA,FALSE,156.09,166.14285278320312,2.4857454766102363,1.048736572265625,Industrials,7.807017,0.9737971683003396,1.0644042077212066,9,8,5,4,7.700000000000001,6.2,9,7.5,64.04494828178291,64.04494828178291,0,64.04494828178291,100
amzn,2020-04-21,2515,2406,2646,NA,NA,FALSE,2410.22,2475.804443359375,NA,0.8139508366584778,Consumer Discretionary,10.37227,1.0434732099144477,1.0272109779851528,3,4,3,4,3.5000000000000004,3.4000000000000004,4,4,48.20545550781073,48.20545550781073,0,48.20545550781073,96.41091101562147
sbux,2020-04-21,75,69,84,NA,NA,FALSE,75.58,78.448272705078125,2.169886194356821,1.0451774597167969,Consumer Discretionary,10.37227,0.9923260121725325,1.0379501548700467,4,3,2,2,3.2000000000000006,2.6,3,2.5,48.20545550781073,96.41091101562147,0,48.20545550781073,96.41091101562147
pg,2020-04-21,127,122,134,NA,NA,FALSE,118.78,128.85000610351562,2.6645324967343362,0.7345609664916992,Consumer Staples,7.628597,1.069203569624516,1.0847786336379492,3,3,2,5,3.1000000000000005,3,2,3,65.54285145748294,65.54285145748294,0,65.54285145748294,100
ths,2020-04-21,66,45,55,46,54,FALSE,50.11,54.33333206176758,NA,0.6044493317604065,Consumer Staples,7.628597,1.317102374775494,1.084281222545751,2,4,7,7,3.8000000000000007,5.4,3,6,65.54285145748294,131.08570291496588,31.08570291496588,34.45714854251706,100
goog,2020-04-21,1395,1152,1408,1153,1328,FALSE,1279.31,1461.6666259765625,NA,0.8885148167610168,Communication Services,10.74143,1.090431560763224,1.1425429536051173,4,3,4,3,3.5,3.6,4,4,46.548736993119164,46.548736993119164,0,46.548736993119164,93.09747398623833
atvi,2020-04-21,88,59,73,60,72,FALSE,66.65,69,0.6151537830813523,0.7497586011886597,Communication Services,10.74143,1.3203300825206301,1.0352588147036759,2,4,3,4,3.1,3.2,3,3,46.548736993119164,93.09747398623833,0,46.548736993119164,93.09747398623833
all,2020-04-14,128,90,110,89,111,FALSE,101.44,113.375,2.1282885859007674,1.1395081281661987,Financials,10.38778,1.2618296529968454,1.1176557570977919,5,8,7,5,6.4,6.4,7,6,48.133479915824175,144.40043974747252,44.40043974747252,3.733040168351657,96.26695983164835
ibm,2020-04-14,164,110,130,115,125,FALSE,124.72,127.11764526367188,5.1956382449274265,1.034645915031433,Information Technology,25.57072,1.3149454778704297,1.0192242243719682,2,11,1,3,5.6,3.6,4,1,19.55361444652321,117.32168667913925,17.321686679139248,2.2319277673839615,39.10722889304642
well,2020-04-14,57,50,60,NA,NA,FALSE,44.06,54.625,7.898320515373324,1.3619152307510376,Real Estate,2.9142420000000002,1.2936904221516115,1.239786654561961,2,2,1,1,1.8000000000000003,1.4,2,1,100,100,0,100,100
cvx,2020-04-14,92,78,90,NA,NA,FALSE,87.01,91.25,5.933080197093377,1.1901681423187256,Energy,2.8549,1.0573497299161014,1.048730031030916,4,4,4,2,3.8000000000000003,3.6,4,4,100,100,0,100,100
carr,2020-04-14,23,12,17,13,16,FALSE,16.25,19.0625,NA,NA,Industrials,7.807017,1.4153846153846155,1.1730769230769231,3,4,8,8,4.4,6.2,4,7.5,64.04494828178291,128.08989656356582,28.089896563565816,35.95505171821709,100
so,2020-04-14,57,55,65,NA,NA,FALSE,57.73,61.875,4.434436069252627,1.0336207151412964,Utilities,3.416187,0.9873549281136325,1.0717997574917721,2,2,1,1,1.8000000000000003,1.4,2,1,100,100,0,100,100
baba,2020-04-07,257,175,215,176,214,FALSE,204.36,258.03887939453125,NA,0.8323773741722107,Consumer Discretionary,10.37227,1.2575846545312193,1.2626682295680722,1,1,4,3,1.5000000000000002,2.6,1,2.5,48.20545550781073,144.6163665234322,44.61636652343219,3.5890889843785416,96.41091101562147
dis,2020-03-31,124,87,107,88,106,FALSE,101.19,130.48147583007812,1.7393022931744804,1.0230823755264282,Communication Services,10.74143,1.2254175313766182,1.2894700645328405,3,1,2,1,1.9000000000000001,1.8,2,2,46.548736993119164,139.64621097935748,39.64621097935748,6.902526013761687,93.09747398623833
fcx,2020-03-24,9,3,9,NA,NA,FALSE,8.48,11.784210205078125,NA,1.4947890043258667,Materials,2.454172,1.0613207547169812,1.3896474298441184,2,1,2,1,1.5000000000000002,1.6,1.5,2,100,100,0,100,100
